
Starting Iterations
================================================================================
Iteration 1
time/training: 0.7977166175842285
evaluation/target_500_return_mean: 24.623660846794074
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
evaluation/target_400_return_mean: 24.623660846794074
evaluation/target_400_return_std: 3.552713678800501e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 6.391928434371948
time/evaluation: 3.5392327308654785
training/train_loss_mean: 4.297593593597412
training/train_loss_std: 0.21711274486096796
training/action_error: 4.111764430999756
================================================================================
Iteration 2
time/training: 0.04289698600769043
evaluation/target_500_return_mean: 24.623660846794074
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
evaluation/target_400_return_mean: 24.623660846794074
evaluation/target_400_return_std: 3.552713678800501e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 10.247233867645264
time/evaluation: 3.8087024688720703
training/train_loss_mean: 4.016497627894084
training/train_loss_std: 0.04025408029215464
training/action_error: 3.970903158187866
================================================================================
Iteration 3
time/training: 0.04329967498779297
evaluation/target_500_return_mean: 24.623660846794074
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
evaluation/target_400_return_mean: 24.623660846794074
evaluation/target_400_return_std: 3.552713678800501e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 14.091654777526855
time/evaluation: 3.7973718643188477
training/train_loss_mean: 3.9188901742299396
training/train_loss_std: 0.03824665694509311
training/action_error: 3.876164674758911
================================================================================
Iteration 4
time/training: 0.04270434379577637
evaluation/target_500_return_mean: 24.623660846794074
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
evaluation/target_400_return_mean: 24.623660846794074
evaluation/target_400_return_std: 3.552713678800501e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 17.825358867645264
time/evaluation: 3.687753200531006
training/train_loss_mean: 3.843630377451579
training/train_loss_std: 0.02153396634117682
training/action_error: 3.8244054317474365
================================================================================
Iteration 5
time/training: 0.04567742347717285
evaluation/target_500_return_mean: 24.623660846794074
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
evaluation/target_400_return_mean: 24.623660846794074
evaluation/target_400_return_std: 3.552713678800501e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 21.44042730331421
time/evaluation: 3.5659172534942627
training/train_loss_mean: 3.8048442204793296
training/train_loss_std: 0.02100838152076731
training/action_error: 3.7928225994110107
================================================================================
Iteration 6
time/training: 0.04368281364440918
evaluation/target_500_return_mean: 24.623660846794074
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
evaluation/target_400_return_mean: 24.623660846794074
evaluation/target_400_return_std: 3.552713678800501e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 25.169726848602295
time/evaluation: 3.6746292114257812
training/train_loss_mean: 3.782877969741821
training/train_loss_std: 0.01581730240481716
training/action_error: 3.7916667461395264
================================================================================
Iteration 7
time/training: 0.04326605796813965
evaluation/target_500_return_mean: 24.623660846794074
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
evaluation/target_400_return_mean: 24.623660846794074
evaluation/target_400_return_std: 3.552713678800501e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 28.95611882209778
time/evaluation: 3.739881753921509
training/train_loss_mean: 3.7537282784779866
training/train_loss_std: 0.01538789929747779
training/action_error: 3.7423980236053467
================================================================================
Iteration 8
time/training: 0.04493999481201172
evaluation/target_500_return_mean: 24.623660846794074
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
evaluation/target_400_return_mean: 24.623660846794074
evaluation/target_400_return_std: 3.552713678800501e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 33.405905961990356
time/evaluation: 4.401378870010376
training/train_loss_mean: 3.73695863087972
training/train_loss_std: 0.012431188585267938
training/action_error: 3.740354299545288
================================================================================
Iteration 9
time/training: 0.04520249366760254
evaluation/target_500_return_mean: 24.623660846794074
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
evaluation/target_400_return_mean: 24.623660846794074
evaluation/target_400_return_std: 3.552713678800501e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 37.931867599487305
time/evaluation: 4.477145671844482
training/train_loss_mean: 3.7084118525187173
training/train_loss_std: 0.011876423648006134
training/action_error: 3.6946702003479004
================================================================================
Iteration 10
time/training: 0.0432586669921875
evaluation/target_500_return_mean: 24.623660846794074
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
evaluation/target_400_return_mean: 24.623660846794074
evaluation/target_400_return_std: 3.552713678800501e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 41.65692710876465
time/evaluation: 3.678356885910034
training/train_loss_mean: 3.7009472370147707
training/train_loss_std: 0.007800704345674241
training/action_error: 3.700096845626831
================================================================================
Iteration 11
time/training: 0.04517388343811035
evaluation/target_500_return_mean: 24.623660846794074
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
evaluation/target_400_return_mean: 24.623660846794074
evaluation/target_400_return_std: 3.552713678800501e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 45.7513861656189
time/evaluation: 4.038351774215698
training/train_loss_mean: 3.6982044061024983
training/train_loss_std: 0.010495354138495956
training/action_error: 3.702461004257202
================================================================================
Iteration 12
time/training: 0.0425410270690918
evaluation/target_500_return_mean: 24.623660846794074
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
evaluation/target_400_return_mean: 24.623660846794074
evaluation/target_400_return_std: 3.552713678800501e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 49.82945108413696
time/evaluation: 4.032104253768921
training/train_loss_mean: 3.6871466477711996
training/train_loss_std: 0.014342527754232108
training/action_error: 3.726530075073242
================================================================================
Iteration 13
time/training: 0.04519391059875488
evaluation/target_500_return_mean: 24.623660846794074
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
evaluation/target_400_return_mean: 24.623660846794074
evaluation/target_400_return_std: 3.552713678800501e-15
