2024-09-14 21:44:58,366 INFO    MainThread:117553 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-09-14 21:44:58,367 INFO    MainThread:117553 [wandb_setup.py:_flush():77] Configure stats pid to 117553
2024-09-14 21:44:58,367 INFO    MainThread:117553 [wandb_setup.py:_flush():77] Loading settings from /home/moonlab/.config/wandb/settings
2024-09-14 21:44:58,367 INFO    MainThread:117553 [wandb_setup.py:_flush():77] Loading settings from /home/moonlab/decision_transformer/decision_tr/src/wandb/settings
2024-09-14 21:44:58,367 INFO    MainThread:117553 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-14 21:44:58,367 INFO    MainThread:117553 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-09-14 21:44:58,367 INFO    MainThread:117553 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'src/train.py', 'program_abspath': '/home/moonlab/decision_transformer/decision_tr/src/train.py', 'program': '/home/moonlab/decision_transformer/decision_tr/src/train.py'}
2024-09-14 21:44:58,367 INFO    MainThread:117553 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-14 21:44:58,367 INFO    MainThread:117553 [wandb_init.py:_log_setup():524] Logging user logs to /home/moonlab/decision_transformer/decision_tr/src/wandb/run-20240914_214458-j00ah3t4/logs/debug.log
2024-09-14 21:44:58,367 INFO    MainThread:117553 [wandb_init.py:_log_setup():525] Logging internal logs to /home/moonlab/decision_transformer/decision_tr/src/wandb/run-20240914_214458-j00ah3t4/logs/debug-internal.log
2024-09-14 21:44:58,367 INFO    MainThread:117553 [wandb_init.py:init():607] calling init triggers
2024-09-14 21:44:58,367 INFO    MainThread:117553 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {'K': 100, 'batch_size': 64, 'embed_dim': 128, 'n_layer': 3, 'n_head': 1, 'activation_function': 'relu', 'dropout': 0.1, 'learning_rate': 0.003, 'weight_decay': 0.0001, 'warmup_steps': 10, 'num_eval_episodes': 10, 'max_iters': 50, 'num_steps_per_iter': 50, 'num_robot': 1, 'T': 200, 'num_traj': 1200000, 'grid_size': 30, 'rewardmap_path': '/home/moonlab/decision_transformer/decision_tr/maps/gaussian_mixture_training_data.pkl', 'wandb': True, 'num_shards': 120}
2024-09-14 21:44:58,367 INFO    MainThread:117553 [wandb_init.py:init():657] starting backend
2024-09-14 21:44:58,367 INFO    MainThread:117553 [wandb_init.py:init():661] setting up manager
2024-09-14 21:44:58,367 INFO    MainThread:117553 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-14 21:44:58,367 INFO    MainThread:117553 [wandb_init.py:init():669] backend started and connected
2024-09-14 21:44:58,368 INFO    MainThread:117553 [wandb_init.py:init():767] updated telemetry
2024-09-14 21:44:58,371 INFO    MainThread:117553 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-09-14 21:44:59,081 INFO    MainThread:117553 [wandb_init.py:init():851] starting run threads in backend
2024-09-14 21:44:59,153 INFO    MainThread:117553 [wandb_run.py:_console_start():2463] atexit reg
2024-09-14 21:44:59,153 INFO    MainThread:117553 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2024-09-14 21:44:59,154 INFO    MainThread:117553 [wandb_run.py:_redirect():2374] Wrapping output streams.
2024-09-14 21:44:59,154 INFO    MainThread:117553 [wandb_run.py:_redirect():2399] Redirects installed.
2024-09-14 21:44:59,154 INFO    MainThread:117553 [wandb_init.py:init():894] run started, returning control to user process
2024-09-14 21:48:21,652 WARNING MsgRouterThr:117553 [router.py:message_loop():77] message_loop has been closed
