
Starting Iterations
================================================================================
Iteration 1
time/training: 7.285438776016235
evaluation/target_200_return_mean: 49.089275523356086
evaluation/target_200_return_std: 0.0
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 49.089275523356086
evaluation/target_300_return_std: 0.0
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 49.089275523356086
evaluation/target_400_return_std: 0.0
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 15.491375923156738
time/evaluation: 6.229310750961304
training/train_loss_mean: 1.5742319324612617
training/train_loss_std: 0.11888822444735193
training/action_error: 1.5232328176498413
================================================================================
Iteration 2
time/training: 6.416817903518677
evaluation/target_200_return_mean: 43.47037589282254
evaluation/target_200_return_std: 7.105427357601002e-15
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 43.92615800848999
evaluation/target_300_return_std: 7.105427357601002e-15
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 44.03027731740502
evaluation/target_400_return_std: 0.0
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 28.6868155002594
time/evaluation: 6.774328947067261
training/train_loss_mean: 1.5225009469389916
training/train_loss_std: 0.0025627495208881755
training/action_error: 1.519287347793579
================================================================================
Iteration 3
time/training: 6.492950916290283
evaluation/target_200_return_mean: 52.642727517981406
evaluation/target_200_return_std: 0.0
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 52.824185997872256
evaluation/target_300_return_std: 0.0
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 52.824185997872256
evaluation/target_400_return_std: 0.0
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 41.4449360370636
time/evaluation: 6.260915756225586
training/train_loss_mean: 1.5212514729499818
training/train_loss_std: 0.0019877261920849066
training/action_error: 1.519307017326355
================================================================================
Iteration 4
time/training: 6.395093202590942
evaluation/target_200_return_mean: 126.71390514933951
evaluation/target_200_return_std: 1.4210854715202004e-14
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 126.8122890264004
evaluation/target_300_return_std: 2.842170943040401e-14
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 126.8122890264004
evaluation/target_400_return_std: 2.842170943040401e-14
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 54.71996235847473
time/evaluation: 6.875402927398682
training/train_loss_mean: 1.5208713707923889
training/train_loss_std: 0.0019813162962830843
training/action_error: 1.524767279624939
================================================================================
Iteration 5
time/training: 6.45060396194458
evaluation/target_200_return_mean: 47.08739632111514
evaluation/target_200_return_std: 0.0
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 47.08739632111514
evaluation/target_300_return_std: 0.0
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 47.08739632111514
evaluation/target_400_return_std: 0.0
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 67.39641380310059
time/evaluation: 6.22168231010437
training/train_loss_mean: 1.520142074942589
training/train_loss_std: 0.001498016959802564
training/action_error: 1.5190114974975586
================================================================================
Iteration 6
time/training: 7.086730003356934
evaluation/target_200_return_mean: 31.35632587086003
evaluation/target_200_return_std: 0.0
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 31.564564488690102
evaluation/target_300_return_std: 3.552713678800501e-15
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 31.564564488690102
evaluation/target_400_return_std: 3.552713678800501e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 80.64526128768921
time/evaluation: 6.15805983543396
training/train_loss_mean: 1.5200635594129563
training/train_loss_std: 0.0018479478912279993
training/action_error: 1.518800139427185
================================================================================
Iteration 7
time/training: 6.508118629455566
evaluation/target_200_return_mean: 30.774866924507364
evaluation/target_200_return_std: 0.0
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 30.774866924507364
evaluation/target_300_return_std: 0.0
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 30.774866924507364
evaluation/target_400_return_std: 0.0
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 93.76254892349243
time/evaluation: 6.604735851287842
training/train_loss_mean: 1.5200310416221618
training/train_loss_std: 0.0016344212807157615
training/action_error: 1.5188782215118408
================================================================================
Iteration 8
time/training: 6.350924968719482
evaluation/target_200_return_mean: 34.997632162749326
evaluation/target_200_return_std: 7.105427357601002e-15
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 35.101751471630244
evaluation/target_300_return_std: 7.105427357601002e-15
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 35.101751471630244
evaluation/target_400_return_std: 7.105427357601002e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 106.47847485542297
time/evaluation: 6.360779762268066
training/train_loss_mean: 1.5197681498527527
training/train_loss_std: 0.0016276931114181008
training/action_error: 1.51944100856781
================================================================================
Iteration 9
time/training: 6.215607404708862
evaluation/target_200_return_mean: 77.59747568590615
evaluation/target_200_return_std: 0.0
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 77.57293208968777
evaluation/target_300_return_std: 1.4210854715202004e-14
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 77.56576911367755
evaluation/target_400_return_std: 0.0
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 119.52283239364624
time/evaluation: 6.824568271636963
training/train_loss_mean: 1.5196566986441613
training/train_loss_std: 0.0012755635224841824
training/action_error: 1.5211048126220703
================================================================================
Iteration 10
time/training: 6.448973178863525
evaluation/target_200_return_mean: 61.696085507909274
evaluation/target_200_return_std: 0.0
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 62.3165022285405
evaluation/target_300_return_std: 1.4210854715202004e-14
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 62.3165022285405
evaluation/target_400_return_std: 1.4210854715202004e-14
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 132.23462963104248
time/evaluation: 6.25859808921814
training/train_loss_mean: 1.519536894261837
training/train_loss_std: 0.0014321803017651627
training/action_error: 1.5190708637237549
