
Starting Iterations
================================================================================
Iteration 1
time/training: 580.5823938846588
evaluation/target_200_return_mean: 33.38438584557879
evaluation/target_200_return_std: 7.105427357601002e-15
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 33.38438584557879
evaluation/target_300_return_std: 7.105427357601002e-15
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 33.38438584557879
evaluation/target_400_return_std: 7.105427357601002e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 588.9601263999939
time/evaluation: 6.27301549911499
training/train_loss_mean: 1.0135431112092734
training/train_loss_std: 0.012713765205843167
training/action_error: 1.0125070810317993
================================================================================
Iteration 2
time/training: 656.3841068744659
evaluation/target_200_return_mean: 43.31266165019183
evaluation/target_200_return_std: 0.0
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 43.31266165019183
evaluation/target_300_return_std: 0.0
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 43.31266165019183
evaluation/target_400_return_std: 0.0
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 1251.640825510025
time/evaluation: 6.284569263458252
training/train_loss_mean: 1.0126882724040747
training/train_loss_std: 0.0007607615239807761
training/action_error: 1.0125046968460083
================================================================================
Iteration 3
time/training: 657.4703614711761
evaluation/target_200_return_mean: 44.36538816844138
evaluation/target_200_return_std: 0.0
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 44.36538816844138
evaluation/target_300_return_std: 0.0
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 44.36538816844138
evaluation/target_400_return_std: 0.0
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 1915.4199345111847
time/evaluation: 6.2969019412994385
training/train_loss_mean: 1.0126463373494148
training/train_loss_std: 0.000669193535371154
training/action_error: 1.0125044584274292
================================================================================
Iteration 4
time/training: 654.4751226902008
evaluation/target_200_return_mean: 11.544987069317113
evaluation/target_200_return_std: 0.0
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 11.54498707006959
evaluation/target_300_return_std: 1.7763568394002505e-15
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 11.54498707006959
evaluation/target_400_return_std: 1.7763568394002505e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 2576.070145845413
time/evaluation: 6.164032697677612
training/train_loss_mean: 1.0126252582490445
training/train_loss_std: 0.0006251930156467564
training/action_error: 1.0125024318695068
================================================================================
Iteration 5
time/training: 655.1638467311859
evaluation/target_200_return_mean: 31.525951096585665
evaluation/target_200_return_std: 3.552713678800501e-15
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 31.525951096585665
evaluation/target_300_return_std: 3.552713678800501e-15
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 31.197238550577662
evaluation/target_400_return_std: 3.552713678800501e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 3237.787164211273
time/evaluation: 6.5414018630981445
training/train_loss_mean: 1.0126098759931326
training/train_loss_std: 0.0005760377676953592
training/action_error: 1.0125064849853516
================================================================================
Iteration 6
time/training: 655.2359883785248
evaluation/target_200_return_mean: 40.693539202457735
evaluation/target_200_return_std: 7.105427357601002e-15
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 40.693539202457735
evaluation/target_300_return_std: 7.105427357601002e-15
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 40.693539202457735
evaluation/target_400_return_std: 7.105427357601002e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 3899.3269662857056
time/evaluation: 6.292447090148926
training/train_loss_mean: 1.0126024071913957
training/train_loss_std: 0.0005366034871107664
training/action_error: 1.0125060081481934
================================================================================
Iteration 7
time/training: 653.4354436397552
evaluation/target_200_return_mean: 59.820779655251364
evaluation/target_200_return_std: 0.0
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 59.820779655251364
evaluation/target_300_return_std: 0.0
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 59.820779655251364
evaluation/target_400_return_std: 0.0
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 4559.12210893631
time/evaluation: 6.348061561584473
training/train_loss_mean: 1.0125944510382414
training/train_loss_std: 0.0005230173752344174
training/action_error: 1.012503743171692
================================================================================
Iteration 8
time/training: 599.592362165451
evaluation/target_200_return_mean: 54.21588015060655
evaluation/target_200_return_std: 0.0
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 54.36420270849624
evaluation/target_300_return_std: 0.0
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 54.36420270849624
evaluation/target_400_return_std: 0.0
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 5163.89502453804
time/evaluation: 5.169600248336792
training/train_loss_mean: 1.0125867821919918
training/train_loss_std: 0.0004956413665261612
training/action_error: 1.0125014781951904
================================================================================
Iteration 9
time/training: 556.800972700119
evaluation/target_200_return_mean: 28.20920421475778
evaluation/target_200_return_std: 3.552713678800501e-15
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 28.20920421475778
evaluation/target_300_return_std: 3.552713678800501e-15
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 28.20920421475778
evaluation/target_400_return_std: 3.552713678800501e-15
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 5725.912702083588
time/evaluation: 5.205877780914307
training/train_loss_mean: 1.0125939270925521
training/train_loss_std: 0.0005567647343045676
training/action_error: 1.0125082731246948
================================================================================
Iteration 10
time/training: 540.53036236763
evaluation/target_200_return_mean: 86.03246596778796
evaluation/target_200_return_std: 0.0
evaluation/target_200_length_mean: 200.0
evaluation/target_200_length_std: 0.0
evaluation/target_300_return_mean: 86.03246596778796
evaluation/target_300_return_std: 0.0
evaluation/target_300_length_mean: 200.0
evaluation/target_300_length_std: 0.0
evaluation/target_400_return_mean: 86.17188625447508
evaluation/target_400_return_std: 1.4210854715202004e-14
evaluation/target_400_length_mean: 200.0
evaluation/target_400_length_std: 0.0
time/total: 6271.659822463989
time/evaluation: 5.205719947814941
training/train_loss_mean: 1.01258447522223
