
Starting Iterations
================================================================================
Iteration 1
time/training: 58.79442834854126
evaluation/target_500_return_mean: 25.56073462679057
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 62.42948937416077
time/evaluation: 1.7745423316955566
training/train_loss_mean: 2.157513331472874
training/train_loss_std: 0.03523387719006921
training/action_error: 2.1515774726867676
================================================================================
Iteration 2
time/training: 58.002819538116455
evaluation/target_500_return_mean: 30.392706759373276
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 122.20015025138855
time/evaluation: 1.7643837928771973
training/train_loss_mean: 2.152018454515934
training/train_loss_std: 0.0011494678950650253
training/action_error: 2.151583433151245
================================================================================
Iteration 3
time/training: 63.192224979400635
evaluation/target_500_return_mean: 25.24837670028429
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 187.99997544288635
time/evaluation: 2.6040987968444824
training/train_loss_mean: 2.15193060349226
training/train_loss_std: 0.0010717000941313786
training/action_error: 2.1515696048736572
================================================================================
Iteration 4
time/training: 60.03585386276245
evaluation/target_500_return_mean: 28.401730029866666
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 249.81126284599304
time/evaluation: 1.772017478942871
training/train_loss_mean: 2.1518679033756256
training/train_loss_std: 0.0009095384639679491
training/action_error: 2.1515767574310303
================================================================================
Iteration 5
time/training: 59.215351581573486
evaluation/target_500_return_mean: 32.44274792955703
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 310.8354117870331
time/evaluation: 1.8054256439208984
training/train_loss_mean: 2.1518636445760726
training/train_loss_std: 0.0009863156628943154
training/action_error: 2.1517837047576904
================================================================================
Iteration 6
time/training: 59.84458875656128
evaluation/target_500_return_mean: 28.40173002856517
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 372.4919111728668
time/evaluation: 1.8085353374481201
training/train_loss_mean: 2.1518488629102706
training/train_loss_std: 0.0008692370449877288
training/action_error: 2.151585817337036
================================================================================
Iteration 7
time/training: 62.01782155036926
evaluation/target_500_return_mean: 36.28154788309293
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 436.28594756126404
time/evaluation: 1.7729411125183105
training/train_loss_mean: 2.1518240715384485
training/train_loss_std: 0.0009217290937827802
training/action_error: 2.1516311168670654
================================================================================
Iteration 8
time/training: 60.88473892211914
evaluation/target_500_return_mean: 33.712762549142255
evaluation/target_500_return_std: 7.105427357601002e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 499.0069942474365
time/evaluation: 1.8324217796325684
training/train_loss_mean: 2.15180362957716
training/train_loss_std: 0.0008049621792488342
training/action_error: 2.1515820026397705
================================================================================
Iteration 9
time/training: 62.18839406967163
evaluation/target_500_return_mean: 37.141075989101175
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 563.1908719539642
time/evaluation: 1.9920849800109863
training/train_loss_mean: 2.1517875794529915
training/train_loss_std: 0.0007635797085356113
training/action_error: 2.1515915393829346
================================================================================
Iteration 10
time/training: 59.75251793861389
evaluation/target_500_return_mean: 28.565765390613954
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 624.843109369278
time/evaluation: 1.8959996700286865
training/train_loss_mean: 2.1518094539165498
training/train_loss_std: 0.0009081714846201358
training/action_error: 2.151569128036499
================================================================================
Iteration 11
time/training: 58.60027003288269
evaluation/target_500_return_mean: 26.66312739892802
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 685.2759032249451
time/evaluation: 1.8291730880737305
training/train_loss_mean: 2.15177880256176
training/train_loss_std: 0.0007581886030571058
training/action_error: 2.15157413482666
================================================================================
Iteration 12
time/training: 60.449475049972534
evaluation/target_500_return_mean: 35.01561853066515
evaluation/target_500_return_std: 7.105427357601002e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 747.5719046592712
time/evaluation: 1.8431220054626465
training/train_loss_mean: 2.1518137587428092
training/train_loss_std: 0.0008162710957096474
training/action_error: 2.1515748500823975
================================================================================
Iteration 13
time/training: 59.13370132446289
evaluation/target_500_return_mean: 45.28096598204286
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 808.5572230815887
time/evaluation: 1.8480937480926514
training/train_loss_mean: 2.151766219043732
training/train_loss_std: 0.0007203331666348166
training/action_error: 2.151641607284546
================================================================================
Iteration 14
time/training: 57.92592453956604
evaluation/target_500_return_mean: 27.832575895122794
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 868.3914477825165
time/evaluation: 1.9048428535461426
training/train_loss_mean: 2.1517854013442994
training/train_loss_std: 0.000733278181690159
training/action_error: 2.152017831802368
================================================================================
Iteration 15
time/training: 60.89192271232605
evaluation/target_500_return_mean: 29.97206011722223
evaluation/target_500_return_std: 3.552713678800501e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 931.0622136592865
time/evaluation: 1.775381088256836
training/train_loss_mean: 2.1517650980949403
training/train_loss_std: 0.0007157760843061638
training/action_error: 2.151564836502075
================================================================================
Iteration 16
time/training: 59.746495962142944
evaluation/target_500_return_mean: 100.69207124698991
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 992.5834925174713
time/evaluation: 1.7712860107421875
training/train_loss_mean: 2.1517572489738463
training/train_loss_std: 0.0007308800878490461
training/action_error: 2.151714324951172
================================================================================
Iteration 17
time/training: 60.00058603286743
evaluation/target_500_return_mean: 78.82230568821642
evaluation/target_500_return_std: 1.4210854715202004e-14
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 1054.4884355068207
time/evaluation: 1.9011387825012207
training/train_loss_mean: 2.1517527183651923
training/train_loss_std: 0.0007162537183838839
training/action_error: 2.1515696048736572
================================================================================
Iteration 18
time/training: 59.97037672996521
evaluation/target_500_return_mean: 50.364579408743225
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 1116.2094225883484
time/evaluation: 1.7473104000091553
training/train_loss_mean: 2.1517335987329482
training/train_loss_std: 0.0006878120961754783
training/action_error: 2.151618719100952
================================================================================
Iteration 19
time/training: 60.9335823059082
evaluation/target_500_return_mean: 45.58572735260789
