
Starting Iterations
================================================================================
Iteration 1
time/training: 62.425893783569336
evaluation/target_500_return_mean: 74.36132307863372
evaluation/target_500_return_std: 1.4210854715202004e-14
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 66.17079424858093
time/evaluation: 1.832129955291748
training/train_loss_mean: 1.7791321033596992
training/train_loss_std: 0.03739564345887847
training/action_error: 1.7719131708145142
================================================================================
Iteration 2
time/training: 60.83767342567444
evaluation/target_500_return_mean: 81.89656349613168
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 129.03747296333313
time/evaluation: 2.0256426334381104
training/train_loss_mean: 1.7724710242807866
training/train_loss_std: 0.0013523562694665496
training/action_error: 1.7718861103057861
================================================================================
Iteration 3
time/training: 60.758949756622314
evaluation/target_500_return_mean: 69.3396307386046
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 191.62652611732483
time/evaluation: 1.826857089996338
training/train_loss_mean: 1.7723145185112954
training/train_loss_std: 0.0011113555256086955
training/action_error: 1.7718843221664429
================================================================================
Iteration 4
time/training: 60.77707314491272
evaluation/target_500_return_mean: 35.71462517838311
evaluation/target_500_return_std: 7.105427357601002e-15
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 254.5473449230194
time/evaluation: 2.140317440032959
training/train_loss_mean: 1.7722356517493725
training/train_loss_std: 0.0010195053506409308
training/action_error: 1.7718921899795532
================================================================================
Iteration 5
time/training: 61.26614785194397
evaluation/target_500_return_mean: 174.19495434882955
evaluation/target_500_return_std: 2.842170943040401e-14
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 317.6391668319702
time/evaluation: 1.8222556114196777
training/train_loss_mean: 1.7721990131497383
training/train_loss_std: 0.001039316338588982
training/action_error: 1.77191162109375
================================================================================
Iteration 6
time/training: 60.38663601875305
evaluation/target_500_return_mean: 27.037570917155097
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 380.1815106868744
time/evaluation: 2.1522629261016846
training/train_loss_mean: 1.7721559118747712
training/train_loss_std: 0.0009126915388584448
training/action_error: 1.7719414234161377
================================================================================
Iteration 7
time/training: 60.822527170181274
evaluation/target_500_return_mean: 69.99093948124005
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 442.8264915943146
time/evaluation: 1.8191368579864502
training/train_loss_mean: 1.7721312308847905
training/train_loss_std: 0.0008894534624547827
training/action_error: 1.771880030632019
================================================================================
Iteration 8
time/training: 61.667518854141235
evaluation/target_500_return_mean: 136.78912135340377
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 506.3069820404053
time/evaluation: 1.8095805644989014
training/train_loss_mean: 1.7721280791401863
training/train_loss_std: 0.0008809078688114748
training/action_error: 1.7718822956085205
================================================================================
Iteration 9
time/training: 60.19858121871948
evaluation/target_500_return_mean: 202.202411074229
evaluation/target_500_return_std: 2.842170943040401e-14
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 568.3331396579742
time/evaluation: 1.8242721557617188
training/train_loss_mean: 1.772130855548382
training/train_loss_std: 0.0009624452450704968
training/action_error: 1.771898865699768
================================================================================
Iteration 10
time/training: 61.0889949798584
evaluation/target_500_return_mean: 68.46336906287328
evaluation/target_500_return_std: 1.4210854715202004e-14
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 631.2438158988953
time/evaluation: 1.8178339004516602
training/train_loss_mean: 1.7721087178587913
training/train_loss_std: 0.0009407986207109247
training/action_error: 1.7718976736068726
================================================================================
Iteration 11
time/training: 61.422083616256714
evaluation/target_500_return_mean: 80.53458139445824
evaluation/target_500_return_std: 1.4210854715202004e-14
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 694.7130491733551
time/evaluation: 2.0437891483306885
training/train_loss_mean: 1.772082552677393
training/train_loss_std: 0.0007949384754918631
training/action_error: 1.7758331298828125
================================================================================
Iteration 12
time/training: 60.755271673202515
evaluation/target_500_return_mean: 69.23989987990966
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 757.2918083667755
time/evaluation: 1.8201122283935547
training/train_loss_mean: 1.7720800299346446
training/train_loss_std: 0.0007320778973815785
training/action_error: 1.7718809843063354
================================================================================
Iteration 13
time/training: 60.53290629386902
evaluation/target_500_return_mean: 45.98966091494218
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 819.904444694519
time/evaluation: 2.0763535499572754
training/train_loss_mean: 1.772075285643339
training/train_loss_std: 0.0007362084185599246
training/action_error: 1.771934151649475
================================================================================
Iteration 14
time/training: 60.35806965827942
evaluation/target_500_return_mean: 70.10285784740395
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 882.0899558067322
time/evaluation: 1.8232848644256592
training/train_loss_mean: 1.7720805986642838
training/train_loss_std: 0.0007796108354051869
training/action_error: 1.7718809843063354
================================================================================
Iteration 15
time/training: 61.34299039840698
evaluation/target_500_return_mean: 106.9105333344668
evaluation/target_500_return_std: 1.4210854715202004e-14
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 945.5926942825317
time/evaluation: 2.156423330307007
training/train_loss_mean: 1.7720646360576153
training/train_loss_std: 0.0008451042850164889
training/action_error: 1.7718833684921265
================================================================================
Iteration 16
time/training: 60.812392711639404
evaluation/target_500_return_mean: 69.14187037852889
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 1008.2300131320953
time/evaluation: 1.821065902709961
training/train_loss_mean: 1.7720750376939773
training/train_loss_std: 0.0007749851824942725
training/action_error: 1.7718809843063354
================================================================================
Iteration 17
time/training: 61.584660053253174
evaluation/target_500_return_mean: 84.78920961595377
evaluation/target_500_return_std: 1.4210854715202004e-14
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 1071.6362252235413
time/evaluation: 1.8180770874023438
training/train_loss_mean: 1.7720560959935188
training/train_loss_std: 0.0007375772793491159
training/action_error: 1.771895408630371
================================================================================
Iteration 18
time/training: 61.364638328552246
evaluation/target_500_return_mean: 72.09424967659503
evaluation/target_500_return_std: 0.0
evaluation/target_500_length_mean: 200.0
evaluation/target_500_length_std: 0.0
time/total: 1135.121945142746
time/evaluation: 2.1177427768707275
training/train_loss_mean: 1.7720479244828224
training/train_loss_std: 0.0007157585862972763
training/action_error: 1.7718816995620728
================================================================================
Iteration 19
time/training: 60.79216432571411
evaluation/target_500_return_mean: 75.3467619768803
evaluation/target_500_return_std: 0.0
